Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
D6:80:68:FE:68:D6, 2023-11-07 14:15:45, 2023-11-07 14:31:45,-75,7,(not associated),
7E:11:B5:16:6A:19, 2023-11-07 14:15:48, 2023-11-07 14:15:48,-74,1,(not associated),
FA:FE:B2:E9:FF:9E, 2023-11-07 14:15:54, 2023-11-07 14:15:54,-73,1,(not associated),
B2:E9:46:28:7F:C0, 2023-11-07 14:15:55, 2023-11-07 14:15:55,-81,1,(not associated),
96:B2:3A:4B:10:C5, 2023-11-07 14:15:57, 2023-11-07 14:15:57,-81,1,(not associated),
2A:28:30:6B:EC:2F, 2023-11-07 14:15:59, 2023-11-07 14:15:59,-78,1,(not associated),
0E:9B:BC:E5:F4:A9, 2023-11-07 14:16:00, 2023-11-07 14:16:00,-77,1,(not associated),
8A:1B:39:CB:69:E7, 2023-11-07 14:16:09, 2023-11-07 14:16:09,-68,1,(not associated),
BA:78:6F:03:C8:78, 2023-11-07 14:16:10, 2023-11-07 14:16:10,-80,1,(not associated),
A2:F7:0E:6F:15:5D, 2023-11-07 14:16:11, 2023-11-07 14:16:11,-80,1,(not associated),
16:66:B5:10:43:B8, 2023-11-07 14:16:22, 2023-11-07 14:16:22,-74,1,(not associated),
5A:BE:D6:70:44:71, 2023-11-07 14:16:22, 2023-11-07 14:16:23,-76,2,(not associated),
0E:F2:47:96:AB:AC, 2023-11-07 14:16:29, 2023-11-07 14:16:29,-73,1,(not associated),
FA:35:A3:84:16:D0, 2023-11-07 14:16:32, 2023-11-07 14:16:32,-70,1,(not associated),
86:58:F0:28:09:DA, 2023-11-07 14:16:33, 2023-11-07 14:16:33,-75,1,(not associated),
46:12:8A:89:EA:BC, 2023-11-07 14:16:38, 2023-11-07 14:16:38,-78,1,(not associated),
72:A9:25:AF:74:A9, 2023-11-07 14:16:39, 2023-11-07 14:16:39,-78,1,(not associated),
E8:2A:44:A6:78:9B, 2023-11-07 14:16:39, 2023-11-07 14:16:39,-80,2,(not associated),
CE:B2:20:2C:74:8F, 2023-11-07 14:16:42, 2023-11-07 14:19:50,-76,2,(not associated),
02:03:B8:F6:9F:76, 2023-11-07 14:16:44, 2023-11-07 14:16:44,-78,1,(not associated),
28:3A:4D:61:51:27, 2023-11-07 14:16:44, 2023-11-07 14:16:44,-82,1,00:35:1A:1D:68:C3,Funcionarios
F2:93:B7:FA:1C:C4, 2023-11-07 14:16:45, 2023-11-07 14:16:45,-78,2,(not associated),
8A:91:1E:EF:EF:35, 2023-11-07 14:16:47, 2023-11-07 14:16:47,-83,1,(not associated),
