BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
00:35:1A:1D:68:C0, 2023-11-07 14:11:00, 2023-11-07 14:13:23,  1, 195, WPA2, CCMP, MGT,-79.0,3.0,0.0,   0.  0.  0.  0,21.0, Grupo_EFE_Corporativo, 
6C:34:91:06:BC:0F, 2023-11-07 14:11:00, 2023-11-07 14:38:00,  1, 360, WPA2 WPA, CCMP TKIP, PSK,-65.0,67.0,2.0,   0.  0.  0.  0,0.0, , 
A4:6D:A4:45:98:D7, 2023-11-07 14:11:02, 2023-11-07 14:33:59,  1, 360, WPA2 WPA, CCMP TKIP, PSK,-73.0,6.0,1.0,   0.  0.  0.  0,0.0, , 
18:35:D1:7F:CA:F9, 2023-11-07 14:11:02, 2023-11-07 14:21:52, 11, 130, WPA2, CCMP, PSK,-78.0,2.0,0.0,   0.  0.  0.  0,11.0, VTR-7288668, 
CC:D7:3C:E2:06:A4, 2023-11-07 14:11:03, 2023-11-07 14:37:31,  1, 130, WPA2 WPA, CCMP, PSK,-75.0,41.0,0.0,   0.  0.  0.  0,11.0, Skttrbrains, 
E4:57:40:C6:C8:75, 2023-11-07 14:11:03, 2023-11-07 14:35:00,  1, 130, WPA2, CCMP, PSK,-70.0,6.0,0.0,   0.  0.  0.  0,11.0, VTR-0915341, 
8A:DE:7C:EB:8C:41, 2023-11-07 14:11:03, 2023-11-07 14:38:37,  1, 130, WPA2, CCMP, PSK,-72.0,339.0,0.0,   0.  0.  0.  0,15.0, Centro Conaripe, 
48:D3:43:8D:C0:D9, 2023-11-07 14:11:03, 2023-11-07 14:13:59,  1, 130, WPA2, CCMP, PSK,-79.0,10.0,0.0,   0.  0.  0.  0,11.0, VTR-2884954, 
54:55:D5:DD:74:FC, 2023-11-07 14:11:05, 2023-11-07 14:38:37, 11, 130, WPA2 WPA, CCMP, PSK,-67.0,188.0,4.0,   0.  0.  0.  0,4.0, Depa, 
14:EB:08:4F:AA:AC, 2023-11-07 14:11:06, 2023-11-07 14:37:44, 11, 360, WPA2 WPA, CCMP, PSK,-77.0,38.0,0.0,   0.  0.  0.  0,5.0, Oddie, 
E4:83:26:AA:EE:34, 2023-11-07 14:11:06, 2023-11-07 14:38:24, 11, 130, WPA2 WPA, CCMP, PSK,-76.0,20.0,0.0,   0.  0.  0.  0,10.0, FDiaz_Wifi, 
22:89:A0:60:4D:31, 2023-11-07 14:11:06, 2023-11-07 14:22:14, 11, 130, WPA2, CCMP, PSK,-73.0,74.0,2.0,   0.  0.  0.  0,19.0, iPhone de Florencia, 
E8:9F:80:B6:E0:30, 2023-11-07 14:11:06, 2023-11-07 14:38:03,  6, 270, WPA2, CCMP, PSK,-75.0,113.0,0.0,   0.  0.  0.  0,9.0, LOBBY_Ext, 
E4:AB:89:2D:B3:DD, 2023-11-07 14:11:07, 2023-11-07 14:34:20,  1, 130, WPA2, CCMP, PSK,-72.0,11.0,3.0,   0.  0.  0.  0,6.0, CARDIO, 
